302,"Brussels Airport","Brussels","Belgium","BRU","EBBR",50.901401519800004,4.48443984985,184,1,"E","Europe/Brussels","airport","OurAirports"
304,"Brussels South Charleroi Airport","Charleroi","Belgium","CRL","EBCI",50.459202,4.45382,614,1,"E","Europe/Brussels","airport","OurAirports"
337,"Berlin-Schönefeld Airport","Berlin","Germany","SXF","EDDB",52.380001,13.5225,157,1,"E","Europe/Berlin","airport","OurAirports"
340,"Frankfurt am Main Airport","Frankfurt","Germany","FRA","EDDF",50.033333,8.570556,364,1,"E","Europe/Berlin","airport","OurAirports"
344,"Cologne Bonn Airport","Cologne","Germany","CGN","EDDK",50.8658981323,7.1427397728,302,1,"E","Europe/Berlin","airport","OurAirports"
345,"Düsseldorf Airport","Duesseldorf","Germany","DUS","EDDL",51.289501,6.76678,147,1,"E","Europe/Berlin","airport","OurAirports"
346,"Munich Airport","Munich","Germany","MUC","EDDM",48.353802,11.7861,1487,1,"E","Europe/Berlin","airport","OurAirports"
347,"Nuremberg Airport","Nuernberg","Germany","NUE","EDDN",49.498699,11.078056,1046,1,"E","Europe/Berlin","airport","OurAirports"
350,"Stuttgart Airport","Stuttgart","Germany","STR","EDDS",48.689899444599995,9.22196006775,1276,1,"E","Europe/Berlin","airport","OurAirports"
548,"London Stansted Airport","London","United Kingdom","STN","EGSS",51.8849983215,0.234999999404,348,0,"E","Europe/London","airport","OurAirports"
580,"Amsterdam Airport Schiphol","Amsterdam","Netherlands","AMS","EHAM",52.308601,4.76389,-11,1,"E","Europe/Amsterdam","airport","OurAirports"
608,"Billund Airport","Billund","Denmark","BLL","EKBI",55.7402992249,9.15178012848,247,1,"E","Europe/Copenhagen","airport","OurAirports"
609,"Copenhagen Kastrup Airport","Copenhagen","Denmark","CPH","EKCH",55.617900848389,12.656000137329,17,1,"E","Europe/Copenhagen","airport","OurAirports"
